Hat,Robe,Boots,Wand,Athame,Amulet,Ring,Pet,Mount,Deck,Max Health,Damage,Flat Damage,Resistance,Flat Resistance,Accuracy,Critical Rating,Critical Block Rating,Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Gear Set,Adjusted Health,Balanced Rating,Mob R1 Dmg,Mob HighRes R1 Dmg,Boss R1 Dmg
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7396,98,0,57,0,8,426,481,11,0,8,13,560,83,95,136,300,No Gear Set,14236,28196,1923,1308,1577
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7396,125,0,57,0,13,563,468,19,0,8,13,742,83,95,136,300,No Gear Set,14236,33036,2536,1803,2082
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7396,122,0,57,0,13,582,452,23,0,8,13,560,83,116,136,300,No Gear Set,14236,33476,2637,1910,2169
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7396,98,0,57,0,8,433,441,11,0,8,13,660,73,95,136,300,No Gear Set,14236,28196,1929,1311,1581
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7396,125,0,57,0,13,570,428,19,0,8,13,842,73,95,136,300,No Gear Set,14236,33036,2541,1806,2086
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7396,122,0,57,0,13,589,412,23,0,8,13,660,73,116,136,300,No Gear Set,14236,33476,2643,1914,2174
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8356,131,0,49,0,8,571,376,14,0,0,3,584,106,108,136,300,Dragoon's Shocking Set (1x),14236,32756,2453,1698,2006
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8356,158,0,49,0,13,708,363,22,0,0,3,766,106,108,136,300,Dragoon's Shocking Set (1x),14236,37596,3128,2255,2573
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8356,155,0,49,0,13,727,347,26,0,0,3,584,106,129,136,300,Dragoon's Shocking Set (1x),14236,38036,3249,2382,2679
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8356,131,0,49,0,8,578,336,14,0,0,3,684,96,108,136,300,Dragoon's Shocking Set (1x),14236,32756,2458,1701,2010
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8356,158,0,49,0,13,715,323,22,0,0,3,866,96,108,136,300,Dragoon's Shocking Set (1x),14236,37596,3133,2258,2577
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8356,155,0,49,0,13,734,307,26,0,0,3,684,96,129,136,300,Dragoon's Shocking Set (1x),14236,38036,3254,2386,2683
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8595,140,0,47,0,0,672,509,18,0,0,12,584,87,129,136,300,No Gear Set,14235,34635,2751,1946,2257
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8595,167,0,47,0,5,809,496,26,0,0,12,766,87,129,136,300,No Gear Set,14235,39475,3458,2536,2856
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8595,164,0,47,0,5,828,480,30,0,0,12,584,87,150,136,300,No Gear Set,14235,39915,3584,2669,2967
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8595,140,0,47,0,0,679,469,18,0,0,12,684,77,129,136,300,No Gear Set,14235,34635,2756,1949,2261
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8595,167,0,47,0,5,816,456,26,0,0,12,866,77,129,136,300,No Gear Set,14235,39475,3463,2539,2860
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8595,164,0,47,0,5,835,440,30,0,0,12,684,77,150,136,300,No Gear Set,14235,39915,3589,2672,2972
Malistaire's Cowl of Flux (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fierce Dream Reaver Knife (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8595,146,0,47,0,0,672,385,15,0,0,3,584,100,128,191,300,Dragoon's Shocking Set (1x),14235,34755,2717,1891,2224
Malistaire's Cowl of Flux (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fierce Dream Reaver Knife (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8595,173,0,47,0,5,809,372,23,0,0,3,766,100,128,191,300,Dragoon's Shocking Set (1x),14235,39595,3418,2475,2819
Malistaire's Cowl of Flux (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fierce Dream Reaver Knife (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8595,170,0,47,0,5,828,356,27,0,0,3,584,100,149,191,300,Dragoon's Shocking Set (1x),14235,40035,3549,2613,2934
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),6193,93,0,67,0,25,361,307,4,0,14,18,364,88,97,136,300,No Gear Set,14233,26193,1652,1069,1353
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),6193,120,0,67,0,30,498,294,12,0,14,18,546,88,97,136,300,No Gear Set,14233,31033,2224,1522,1819
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),6193,117,0,67,0,30,517,278,16,0,14,18,364,88,118,136,300,No Gear Set,14233,31473,2324,1627,1905
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),6193,93,0,67,0,25,368,267,4,0,14,18,464,78,97,136,300,No Gear Set,14233,26193,1658,1072,1357
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),6193,120,0,67,0,30,505,254,12,0,14,18,646,78,97,136,300,No Gear Set,14233,31033,2229,1525,1823
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),6193,117,0,67,0,30,524,238,16,0,14,18,464,78,118,136,300,No Gear Set,14233,31473,2329,1630,1909
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6912,113,0,61,0,25,429,399,10,0,6,13,364,73,111,191,300,No Gear Set,14232,29792,2044,1381,1674
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6912,140,0,61,0,30,566,386,18,0,6,13,546,73,111,191,300,No Gear Set,14232,34632,2675,1892,2194
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6912,137,0,61,0,30,585,370,22,0,6,13,364,73,132,191,300,No Gear Set,14232,35072,2786,2008,2290
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8112,151,0,51,0,8,660,416,14,0,0,11,560,95,108,136,300,Dragoon's Shocking Set (1x),14232,35152,2729,1889,2232
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8112,178,0,51,0,13,797,403,22,0,0,11,742,95,108,136,300,Dragoon's Shocking Set (1x),14232,39992,3433,2475,2828
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8112,175,0,51,0,13,816,387,26,0,0,11,560,95,129,136,300,Dragoon's Shocking Set (1x),14232,40432,3567,2615,2946
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8112,151,0,51,0,8,667,376,14,0,0,11,660,85,108,136,300,Dragoon's Shocking Set (1x),14232,35152,2734,1892,2236
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8112,178,0,51,0,13,804,363,22,0,0,11,842,85,108,136,300,Dragoon's Shocking Set (1x),14232,39992,3438,2478,2833
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8112,175,0,51,0,13,823,347,26,0,0,11,660,85,129,136,300,Dragoon's Shocking Set (1x),14232,40432,3571,2619,2950
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8591,144,0,47,0,0,653,529,18,0,0,0,584,95,129,191,300,No Gear Set,14231,35111,2784,1969,2283
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8591,171,0,47,0,5,790,516,26,0,0,0,766,95,129,191,300,No Gear Set,14231,39951,3498,2565,2887
Krokopatra Maelstrom Fez (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8591,168,0,47,0,5,809,500,30,0,0,0,584,95,150,191,300,No Gear Set,14231,40391,3626,2700,3000
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7629,112,0,55,0,8,563,441,14,0,8,17,584,91,96,136,300,No Gear Set,14229,30469,2246,1554,1837
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7629,139,0,55,0,13,700,428,22,0,8,17,766,91,96,136,300,No Gear Set,14229,35309,2892,2085,2379
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7629,136,0,55,0,13,719,412,26,0,8,17,584,91,117,136,300,No Gear Set,14229,35749,3001,2201,2475
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7629,112,0,55,0,8,570,401,14,0,8,17,684,81,96,136,300,No Gear Set,14229,30469,2250,1558,1841
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7629,139,0,55,0,13,707,388,22,0,8,17,866,81,96,136,300,No Gear Set,14229,35309,2897,2088,2383
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7629,136,0,55,0,13,726,372,26,0,8,17,684,81,117,136,300,No Gear Set,14229,35749,3006,2204,2479
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8346,147,0,49,0,8,662,376,11,0,0,3,584,109,107,136,300,Dragoon's Shocking Set (1x),14226,34066,2583,1757,2109
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8346,174,0,49,0,13,799,363,19,0,0,3,766,109,107,136,300,Dragoon's Shocking Set (1x),14226,38906,3267,2322,2687
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8346,171,0,49,0,13,818,347,23,0,0,3,584,109,128,136,300,Dragoon's Shocking Set (1x),14226,39346,3399,2461,2803
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8346,147,0,49,0,8,669,336,11,0,0,3,684,99,107,136,300,Dragoon's Shocking Set (1x),14226,34066,2588,1760,2112
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8346,174,0,49,0,13,806,323,19,0,0,3,866,99,107,136,300,Dragoon's Shocking Set (1x),14226,38906,3271,2325,2691
Krokopatra Maelstrom Fez (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8346,171,0,49,0,13,825,307,23,0,0,3,684,99,128,136,300,Dragoon's Shocking Set (1x),14226,39346,3403,2464,2807
Malistaire's Cowl of Flux (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7625,116,0,55,0,8,544,461,14,0,8,5,584,99,96,191,300,No Gear Set,14225,30945,2275,1575,1862
